Gene
HAVCR2
CTLA4
PDCD1
IDO1
CXCL10
CXCL9
HLA-DRA
STAT1
IFNG
CD3E
GZMK
CD2
CXCL13
IL2RG
NKG7
HLA-E
CXCR6
LAG3
TAGAP
GZMB
MMP11
COL11A1
C1QTNF3
CTHRC1
COL12A1
COL10A1
COL5A2
THBS2
AEBP1
LRRC15
ITGA11
ARRDC1-AS1
CARD8
GSDMD
ATAT1
CD36
CPTP
DHX33
EIF2AK2
GBP5
NLRC3
PYDC2
SIRT2
TLR4
TLR6
USP50
APP
CASP1
HSP90AB1
MEFV
NFKB1
NFKB2
NLRP3
P2RX7
PANX1
PSTPIP1
PYCARD
RELA
SUGT1
TXN
TXNIP
GZMA
PRF1
ENO1
RBM17
RHCG
H1FX
UPF2
C19orf12
TXNDC5
SERPINA1
HNRNPH2
PHB2
LHX2
NNAT
CHCHD5
FAM204A
IFT20
COPA
UQCRH
KRT1
S100A7
RYK
RPP38
NUDT19
RNF11
VPS35
CEACAM6
PTMA
FOXG1
AC018890.6
CISD2
PCBP2
SMIM26
ACKR1
SERBP1
MYL6
GSDMC
HIST1H2AE
MSRB2
LRP3
EEF2
MTRNR2L1
SELENOW
CTDNEP1
KCTD8
SPINK1
MMP24OS
MADCAM1
BCL10
SLC25A3
LY6D
TPD52L1
EIF5AL1
LSM14A
SUMO3
SPHK1
TMED5
SLC25A6
ALKBH5
OOEP
RENBP
VRK1
ABCA7
FABP3
DENND2C
CNIH1
CALML5
PDCD2
MARVELD1
GPI
SHC4
HM13
DERL2
UBB
PIPOX
STEAP1B
MRPL23
CIB2
PVR
GPR137B
S100A6
SERF2
DSG1
NDUFA4
LDHB
GRAMD1A
RRS1
LBP
VPS29
YBX1
TRIM47
SLC26A3
NTS
PKMYT1
SELENOM
HTR2B
JTB
FEM1B
KRTDAP
NUPR2
PFDN5
SYNE4
SND1
MYDGF
ATP5G2
C11orf31
SMOX
MAMDC2
CLN3
RPA1
DESI1
ZNF330
LRRFIP2
ALDOA
CITED4
SHFM1
GTSF1
FAM98C
PRDX1
C19orf70
ATP5B
C20orf24
PLEKHA7
PPP4C
ALYREF
PIGP
EIF4EBP3
TMA7
PFN1
ANKRD35
ATP5J2
PRSS27
DYRK1B
CFH
UBA52
POLR2E
MID1IP1
RNF126
SIK3
VCX2
SF3A2
UFD1L
SNX8
TMEM41A
PSMB3
NBPF14
C7orf73
TCEB2
EGLN2
C4BPA
TMPRSS3
ZFAND6
KNG1
SH3GL1
GGACT
ADAMTSL1
ASF1B
UBE2L3
RGS20
ATP5I
KRT10
MRPS21
ARHGEF35
BCL7C
AP2S1
AGT
RACK1
COMMD8
OMG
RAD23A
C14orf166
DKK2
DDA1
EIF5A2
MLANA
H2AFZ
H3F3B
C1orf43
FAM104B
IRX3
PIH1D1
KYNU
EIF3M
EMC3
SLC25A29
SSBP4
ALKBH7
EIF2S3
FUZ
PNCK
LRRN4CL
UBE2D2
ACTG1
APOA1BP
NGFRAP1
IRX5
UBE2S
ATP5G3
AGR2
SNF8
KXD1
ZNF90
EMX2
PDXP
PTHLH
TM7SF3
NPM1
RIOK3
TAGLN2
VGLL1
CALB2
RBX1
UGT2B15
MTHFD2
RBM3
INAFM1
CCDC106
CDHR1
EPHA3
LMF2
AC007325.4
GNPTAB
TUBB
RALY
PIGC
SFRP1
KIF1C
DSCR8
GC
SUB1
SET
LINC00844
IGSF21
LMF1
EPHA7
NCAPH2
ZNF106
PERP
TICAM1
SNRPE
ENY2
C1QBP
HNRNPA1
PPIA
SUMO2
TXNL4A
PLPPR5
SHC3
NTN5
AC011043.1
MIR205HG
TSPAN10
ACTB
C19orf43
PPP2R5A
AARD
TMEM256
CHCHD2
IGFBP1
ERP29
DERL1
TMPRSS5
FAM89A
EHD2
WIF1
IGKC
NECTIN1
BIRC7
AC090498.1
TIAM1
H3F3A
SLURP1
EIF4A1
TSPYL5
PON3
TMED10
GRTP1
GLRX5
GRID2
POLE4
CENPU
ECM1
CLPTM1
PLP2
GRHL3
C1orf131
C8orf82
KRT19
AL365205.1
MTRNR2L10
RER1
ATP5J
GNB2L1
POM121
SMC2
HOMER1
C1orf56
BAIAP2L2
EFNB1
PKP1
CEBPZOS
TPM2
ATP5G1
WDR77
DIAPH2
AP3S1
CASP6
ANKRD6
KLRC2
SERPINA3
GTSE1
CPEB4
SPRR1B
SLC25A5
GPR87
COX7A2L
PRKCDBP
NME1
NDC1
FGL1
COPB1
BECN1
COX4I1
NKD1
STEAP3
PCP4
CDK13
SPRR2D
PDP1
ADGRF4
PEX13
FTH1
HN1
FZD8
EEF1A1
PSMF1
PFKFB2
CYP27B1
GNB1
HPCA
TAC1
SFTPB
CDKN2A
FAM83B
TCF7L1
EEF1G
FAM110A
TP53BP2
ORM1
FAU
ANP32B
CRYGS
PARL
TMEM18
BEX5
FABP6
CDKN2B
CALML3
RPIA
FAM89B
SNRPB
RSL1D1
ORM2
CCNDBP1
ATP5F1B
NUDT4
CMTM5
G6PD
POU4F3
TPH1
MUC21
UBAP1
HCAR2
FAHD2A
CCS
COMMD7
EIF2S2
C5
AATF
HINT1
SPOCD1
ATP23
FAAP20
NRM
AGRN
SLC22A31
SEC61B
ZNF750
DBI
DHCR7
BPI
DDOST
GAPDH
NOX1
HNRNPD
KCNF1
TTC9B
NR0B2
UBE2A
CGN
MRPL54
ZBTB43
SERPINB2
NAA50
DGAT2
PSMA7
MKI67
TPI1
CHMP4A
LYPLA1
OSBPL6
APH1A
MCTS1
SFTA2
NAPSA
PPP1CA
TINCR
ROPN1
BARX2
MRGBP
AC012640.4
COX6A1
GSTA1
MTHFD2L
CRP
IDH3G
GCLC
GSTP1
IL36G
ROPN1B
ZMYND11
POP4
PRDX3
RAN
GTF3A
NACA
ARSJ
LINC01268
APOA2
TIMM23
FAM83A
QARS
TNFRSF9
ICOS
CD80
PDCD1LG2
TIGIT
CD70
TNFSF9
ICOSLG
KIR3DL1
CD86
LAIR1
TNFRSF8
TNFSF15
TNFRSF14
IDO2
CD276
CD40
TNFRSF4
TNFSF14
HHLA2
CD244
CD274
CD27
BTLA
LGALS9
TMIGD2
CD28
CD48
TNFRSF25
CD40LG
ADORA2A
VTCN1
CD160
CD44
TNFSF18
TNFRSF18
BTNL2
C10orf54
CD200R1
TNFSF4
CD200
NRP1
HLA-C
HLA-DQB1
HLA-DQB2
HLA-DQA2
HLA-DQA1
HLA-A
HLA-DMA
HLA-DOB
HLA-DRB1
HLA-B
HLA-DRB5
HLA-DOA
HLA-DPB1
HLA-F
HLA-G
HLA-DMB
HLA-DPA1
ITM2C
CD38
THEMIS2
GLYR1
F5
KLRD1
IRF4
PRKCQ
FCRL5
SIRPG
LPXN
CCL5
LCK
TRAF3IP3
MAL
LILRB1
DOK2
CD6
PAG1
LAX1
PLEK
PIK3CD
SLAMF1
XCL1
GPR171
XCL2
TBX21
CD53
KLHL6
SLAMF6
SIT1
CD79A
CD247
LCP2
CD3D
SH2D1A
FYB
ARHGAP30
ACAP1
CST7
CD3G
IL2RB
FCRL3
CORO1A
ITK
TCL1A
CYBB
CSF2RB
IKZF1
NCF4
DOCK2
CCR2
PTPRC
PLAC8
NCKAP1L
IL7R
STAT4
CD8A
LY9
HCST
PTPRCAP
SASH3
ARHGAP25
LAT
TRAT1
IL10RA
PAX5
CCR7
DOCK11
PARVG
SPNS1
CD52
HCLS1
ARHGAP9
GIMAP6
PRKCB
MS4A1
GPR18
TBC1D10C
P2RY8
EVI2B
VAMP5
KLRK1
SELL
MPEG1
MS4A6A
ARHGAP15
MFNG
SELPLG
GIMAP7
FAM65B
INPP5D
ITGA4
MZB1
GPSM3
STK10
CLEC2D
IL16
GIMAP5
GIMAP4
IFFO1
PVRIG
CFHR1
JAK2
IRF1
IRF2
GBP4
SEL1L3
HAPLN3
BST2
IFITM1
ACADM
AKAP1
ALDH1A2
ANXA2
ANXA3
ANXA8
ANXA9
APRT
AQP1
ARMC10
ASH2L
ATP1B1
ATP5O
B4GALT5
BAG1
BCAT2
BSG
C1GALT1
C4A
CA9
CADM3
CDC42EP4
CHEK2
CLIC3
COX5B
CRIP1
DHRS3
EBAG9
EPHX2
EPS8L1
ERLIN2
EZR
FAM96A
FBXO2
GALK2
GCHFR
GFPT1
GNAI1
GNG12
GPD1
GSTZ1
HSD17B8
IFITM2
ISOC2
ISYNA1
KCNH5
KRT18
KRT5
KRT8
LAMA3
LDHA
LGALS3BP
LRRC1
LRRN4
MBP
MCFD2
MRPL41
MRPL46
MYO5B
NDUFA2
NDUFB3
NEBL
NEK7
NFATC2IP
PDHB
PGM1
PKP2
PPA1
PRDX5
PTGIS
PYCR2
RAB7B
RARRES1
RBM47
RDH10
RNF39
RTN3
SCP2
SEC11C
SELENBP1
SIRT5
SLC16A1
SLC19A3
SLC9A3R1
SMPDL3B
SORBS2
SPTAN1
STAT3
SUCLG1
SULT1A1
SULT1A3
SULT1A4
TBL2
TM4SF1
TST
TSTD1
TUFM
UPK1B
WNT2B
ARFGAP1
CALU
CLASP1
DBN1
EIF4G3
ENAH
FCHO2
GDI2
IPO13
LGALS1
LPP
MARCKS
MGA
MICAL1
MYH9
MYO1B
NBAS
NOP14
NUP54
RCN1
RFTN1
TCERG1
UBE3A
VCL
YARS
ZW10
IDH2
IDH1
NRAS
ASXL1
SETBP1
DNMT3A
NF1
SRSF2
RUNX1
SF3B1
GATA2
FLT3
WT1
TET2
ZRSR2
PTPN11
EZH2
TP53
CALR
STAG2
CEBPA
CUX1
U2AF1
EP300
PHF6
KRAS
